1.32	S:	3374	M:	3282	H:	1969	R:	61	L:	24
1.335	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.35	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.365	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.38	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.395	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.41	S:	3374	M:	3399	H:	2052	R:	66	L:	25
1.425	S:	3374	M:	3783	H:	2128	R:	82	L:	25
1.44	S:	3374	M:	3783	H:	2128	R:	82	L:	25
1.455	S:	3374	M:	3783	H:	2128	R:	82	L:	25
1.47	S:	3374	M:	3783	H:	2128	R:	82	L:	25
1.485	S:	3374	M:	3783	H:	2128	R:	82	L:	25
1.5	S:	3374	M:	3177	H:	2128	R:	57	L:	26
1.515	S:	3374	M:	3177	H:	2128	R:	57	L:	26
1.53	S:	3374	M:	3177	H:	2128	R:	57	L:	26
1.545	S:	3374	M:	3177	H:	2203	R:	57	L:	26
1.56	S:	3374	M:	3177	H:	2203	R:	57	L:	26
1.575	S:	3374	M:	4071	H:	2203	R:	94	L:	26
1.59	S:	3374	M:	4071	H:	2203	R:	94	L:	26
1.605	S:	3374	M:	4071	H:	2203	R:	94	L:	26
1.62	S:	3374	M:	4071	H:	2287	R:	94	L:	26
1.635	S:	3374	M:	4071	H:	2287	R:	94	L:	26
1.65	S:	3374	M:	4071	H:	2287	R:	94	L:	26
1.665	S:	3374	M:	3441	H:	2287	R:	68	L:	26
1.68	S:	3374	M:	3441	H:	2287	R:	68	L:	26
1.695	S:	3374	M:	3441	H:	2287	R:	68	L:	26
1.71	S:	3374	M:	3441	H:	2287	R:	68	L:	26
1.725	S:	3374	M:	3441	H:	2287	R:	68	L:	26
1.74	S:	3374	M:	3588	H:	2358	R:	74	L:	26
1.755	S:	3374	M:	3588	H:	2358	R:	74	L:	26
1.77	S:	3374	M:	3588	H:	2358	R:	74	L:	26
1.785	S:	3374	M:	3588	H:	2358	R:	74	L:	26
1.8	S:	3374	M:	3588	H:	2358	R:	74	L:	26
1.815	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.83	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.845	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.86	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.875	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.89	S:	3374	M:	3540	H:	2417	R:	72	L:	27
1.905	S:	3374	M:	3207	H:	2457	R:	58	L:	28
1.92	S:	3374	M:	3207	H:	2457	R:	58	L:	28
1.935	S:	3374	M:	3207	H:	2457	R:	58	L:	28
1.95	S:	3374	M:	3207	H:	2457	R:	58	L:	28
1.965	S:	3374	M:	3207	H:	2457	R:	58	L:	28
1.98	S:	3374	M:	3399	H:	2457	R:	66	L:	28
1.995	S:	3374	M:	3399	H:	2457	R:	66	L:	28
2.01	S:	3374	M:	3399	H:	2457	R:	66	L:	28
2.025	S:	3374	M:	3399	H:	2483	R:	66	L:	28
2.04	S:	3374	M:	3399	H:	2483	R:	66	L:	28
2.055	S:	3374	M:	3612	H:	2483	R:	75	L:	29
2.07	S:	3374	M:	3612	H:	2483	R:	75	L:	29
2.085	S:	3374	M:	3612	H:	2483	R:	75	L:	29
2.1	S:	3354	M:	3612	H:	2492	R:	75	L:	29
2.115	S:	3354	M:	3612	H:	2492	R:	75	L:	29
2.13	S:	3354	M:	3612	H:	2492	R:	75	L:	29
2.145	S:	3354	M:	3324	H:	2492	R:	63	L:	29
2.16	S:	3354	M:	3324	H:	2492	R:	63	L:	29
2.175	S:	3354	M:	3324	H:	2492	R:	63	L:	29
