TIME		SERVO		MOTOR		HEADING				
1.53	S:	3179	M:	3525	H:	2562	R:	71	L:	29
1.545	S:	3179	M:	3525	H:	2562	R:	71	L:	29
1.56	S:	3179	M:	3525	H:	2562	R:	71	L:	29
1.575	S:	3374	M:	3525	H:	2422	R:	71	L:	29
1.59	S:	3374	M:	3525	H:	2422	R:	71	L:	29
1.605	S:	3374	M:	3525	H:	2422	R:	71	L:	29
1.62	S:	3374	M:	3330	H:	2422	R:	63	L:	30
1.635	S:	3374	M:	3330	H:	2422	R:	63	L:	30
1.65	S:	3374	M:	3330	H:	2422	R:	63	L:	30
1.665	S:	3374	M:	3330	H:	2422	R:	63	L:	30
1.68	S:	3374	M:	3330	H:	2422	R:	63	L:	30
