Step;Loss
0;0.103781
500;0.0929301
1000;0.112709
1500;0.108917
2000;0.101124
2500;0.102113
3000;0.103984
3500;0.100413
4000;0.101068
4500;0.106255
5000;0.095542
5500;0.0952432
6000;0.0967377
6500;0.100314
7000;0.0963857
7500;0.100203
8000;0.1077
8500;0.0993544
9000;0.0990122
9500;0.0996597
10000;0.103971
10500;0.10493
11000;0.104648
11500;0.0992337
12000;0.100066
12500;0.0934858
13000;0.103676
13500;0.0983532
14000;0.104336
14500;0.0948189
15000;0.0973352
15500;0.100068
16000;0.0982916
16500;0.106518
17000;0.0960083
17500;0.102706
18000;0.105214
18500;0.0958295
19000;0.0986005
19500;0.105988
20000;0.0998788
20500;0.106387
21000;0.0990113
21500;0.0914294
22000;0.0980942
22500;0.0971455
23000;0.104295
23500;0.0975575
24000;0.0988416
24500;0.0961933
25000;0.108462
25500;0.0991766
26000;0.0952985
26500;0.100757
27000;0.101771
27500;0.103879
28000;0.0977114
28500;0.108799
29000;0.109389
29500;0.0902897
30000;0.101386
30500;0.0987873
31000;0.0948671
31500;0.103402
32000;0.10007
32500;0.0961041
33000;0.0970674
33500;0.101509
34000;0.100186
34500;0.101523
35000;0.101955
35500;0.106237
36000;0.10459
36500;0.0997828
37000;0.0988413
37500;0.0998538
38000;0.100196
38500;0.105402
39000;0.100187
39500;0.0919038
40000;0.0979579
40500;0.100912
41000;0.0984989
41500;0.100872
42000;0.106644
42500;0.0985508
43000;0.101549
43500;0.102487
44000;0.103057
44500;0.106664
45000;0.0987419
45500;0.096883
46000;0.0985744
46500;0.100269
47000;0.108789
47500;0.0928359
48000;0.0993125
48500;0.0967646
49000;0.0994159
49500;0.104826
50000;0.0975856
50500;0.101254
51000;0.0973625
51500;0.112195
52000;0.0967478
52500;0.0944518
53000;0.0964651
53500;0.0949404
54000;0.103964
54500;0.0934671
55000;0.093421
55500;0.0928207
56000;0.0996157
56500;0.0963229
57000;0.106145
57500;0.0923604
58000;0.0917902
58500;0.0954054
59000;0.096729
59500;0.0982175
60000;0.098174
60500;0.0975422
61000;0.101012
61500;0.0959191
62000;0.10146
62500;0.10237
63000;0.0980466
63500;0.0960125
64000;0.0938118
64500;0.0946911
65000;0.105076
65500;0.101498
66000;0.102913
66500;0.104639
67000;0.101464
67500;0.0969382
68000;0.0991025
68500;0.0963914
69000;0.0919092
69500;0.104728
70000;0.091749
70500;0.101896
71000;0.0935841
71500;0.0966293
72000;0.0885945
72500;0.0982887
73000;0.0946461
73500;0.0921214
74000;0.0914341
74500;0.0983693
75000;0.099041
75500;0.0958309
76000;0.097006
76500;0.0991168
77000;0.0951826
77500;0.0907058
78000;0.097173
78500;0.0942421
79000;0.0950545
79500;0.0986642
80000;0.0939564
80500;0.100322
81000;0.106884
81500;0.0998252
82000;0.097632
82500;0.100723
83000;0.0920791
83500;0.0927867
84000;0.103373
84500;0.0992858
85000;0.0943276
85500;0.0880073
86000;0.0953781
86500;0.0996849
87000;0.0987506
87500;0.0979565
88000;0.101157
88500;0.101754
89000;0.100352
89500;0.0919317
90000;0.0957357
90500;0.0917728
91000;0.0945074
91500;0.104171
92000;0.100993
92500;0.0929618
93000;0.0949044
93500;0.0892506
94000;0.101092
94500;0.0962752
95000;0.0959408
95500;0.10215
96000;0.0976823
96500;0.0990247
97000;0.0932568
97500;0.0861702
98000;0.0914519
98500;0.091122
99000;0.0942354
99500;0.0897109
100000;0.0976104
100500;0.096018
101000;0.0914347
101500;0.0979443
102000;0.0919997
102500;0.101686
103000;0.0956134
103500;0.0957752
104000;0.0913191
104500;0.098675
105000;0.0945424
105500;0.0913951
106000;0.0949394
106500;0.0905844
107000;0.0927189
107500;0.0964337
108000;0.100866
108500;0.0909965
109000;0.0929059
109500;0.0975113
110000;0.0987956
110500;0.0942611
111000;0.0909572
111500;0.0917374
112000;0.0947068
112500;0.0937856
113000;0.0949438
113500;0.101774
114000;0.0865043
114500;0.0915606
115000;0.0918505
115500;0.0924139
116000;0.0927448
116500;0.0907993
117000;0.0929265
117500;0.0971386
118000;0.09567
118500;0.0885737
119000;0.0964712
119500;0.08911
120000;0.0981496
120500;0.0976091
121000;0.0978563
121500;0.0974798
122000;0.0964269
122500;0.0941793
123000;0.103979
123500;0.100479
124000;0.0979613
124500;0.0929441
125000;0.0944399
125500;0.0950389
126000;0.0986356
126500;0.0967622
127000;0.0913116
127500;0.0975237
128000;0.0894184
128500;0.0883838
129000;0.0974915
129500;0.0927674
130000;0.0830631
130500;0.0956008
131000;0.0968676
131500;0.0946188
132000;0.0945408
132500;0.0933369
133000;0.0959359
133500;0.103193
134000;0.0953871
134500;0.0964835
135000;0.0943236
135500;0.0963604
136000;0.0972877
136500;0.0933413
137000;0.0940296
137500;0.0976119
138000;0.0995043
138500;0.0950775
139000;0.0937864
139500;0.0974859
140000;0.0932123
140500;0.0975745
141000;0.0992991
141500;0.0900856
142000;0.0951408
142500;0.0902282
143000;0.0939225
143500;0.0924363
144000;0.0983291
144500;0.0911811
145000;0.0971381
145500;0.0948802
146000;0.0867944
146500;0.0917341
147000;0.0871702
147500;0.0936598
148000;0.0933828
148500;0.0850509
149000;0.0960538
149500;0.102659
150000;0.0956956
150500;0.0935483
151000;0.0940816
151500;0.094843
152000;0.0911971
152500;0.0968285
153000;0.0895743
153500;0.0955821
154000;0.0978615
154500;0.0968439
155000;0.0967239
155500;0.098765
156000;0.0917332
156500;0.100757
157000;0.0949172
157500;0.0961004
158000;0.0926817
158500;0.0915753
159000;0.0906557
159500;0.0984146
160000;0.0931976
160500;0.0932282
161000;0.0915925
161500;0.0952583
162000;0.100716
162500;0.0934988
163000;0.0968549
163500;0.0911136
164000;0.090587
164500;0.0972912
165000;0.0997074
165500;0.0956647
166000;0.092435
166500;0.0922024
167000;0.0897123
167500;0.0948746
168000;0.0968513
168500;0.0917054
169000;0.0913821
169500;0.0901783
170000;0.0939785
170500;0.0905016
171000;0.0961993
171500;0.0963907
172000;0.100866
172500;0.0927285
173000;0.0979796
173500;0.0950071
174000;0.0928395
174500;0.0885408
175000;0.0876133
175500;0.0924318
176000;0.0897261
176500;0.100797
177000;0.0926418
177500;0.0987341
178000;0.0952419
178500;0.0914051
179000;0.0960104
179500;0.0906017
180000;0.0944977
180500;0.0894148
181000;0.0981612
181500;0.0979459
182000;0.0862772
182500;0.0900876
183000;0.0865677
183500;0.0922439
184000;0.0890638
184500;0.0923984
185000;0.0915446
185500;0.0928473
186000;0.0891194
186500;0.0919236
187000;0.0903039
187500;0.0898504
188000;0.098182
188500;0.0861379
189000;0.0934406
189500;0.0954047
190000;0.0831383
190500;0.0988587
191000;0.0914728
191500;0.0936161
192000;0.0955073
192500;0.100004
193000;0.0926744
193500;0.101138
194000;0.0927759
194500;0.0981442
195000;0.086245
195500;0.0932524
196000;0.0905035
196500;0.093864
197000;0.0872111
197500;0.0974241
198000;0.0950012
198500;0.089241
199000;0.0887091
199500;0.0913343
200000;0.0897178
