Step;Loss
0;0.0974707
500;0.0629589
1000;0.0570943
1500;0.0594546
2000;0.0549232
2500;0.0558585
3000;0.0581044
3500;0.0569108
4000;0.05461
4500;0.0537922
5000;0.0560774
5500;0.0518402
6000;0.0525225
6500;0.047559
7000;0.0581529
7500;0.0514388
8000;0.0518683
8500;0.0535817
9000;0.0551575
9500;0.0544375
10000;0.0516869
10500;0.0515913
11000;0.0497956
11500;0.0462023
12000;0.0492988
12500;0.0474375
13000;0.0481541
13500;0.0507372
14000;0.0530622
14500;0.0483804
15000;0.0517216
15500;0.0447003
16000;0.0413777
16500;0.0465076
17000;0.046001
17500;0.0464685
18000;0.0468834
18500;0.0509189
19000;0.0480197
19500;0.0501595
20000;0.0473802
20500;0.0465976
21000;0.0442007
21500;0.0466009
22000;0.0466187
22500;0.0449569
23000;0.0461017
23500;0.0510402
24000;0.049174
24500;0.0426292
25000;0.0455391
25500;0.0459251
26000;0.0421874
26500;0.0458825
27000;0.0424643
27500;0.0424784
28000;0.0452623
28500;0.0407882
29000;0.0457739
29500;0.0387887
30000;0.0457187
30500;0.0474042
31000;0.0438943
31500;0.0422762
32000;0.0460336
32500;0.0461139
33000;0.041215
33500;0.0406862
34000;0.0430953
34500;0.0418052
35000;0.0427076
35500;0.0439433
36000;0.0447092
36500;0.04495
37000;0.0447451
37500;0.0437683
38000;0.041833
38500;0.0447477
39000;0.0460303
39500;0.0455334
40000;0.042884
40500;0.0443465
41000;0.0400969
41500;0.0434856
42000;0.0426725
42500;0.0417896
43000;0.0459836
43500;0.0401504
44000;0.0462121
44500;0.042253
45000;0.0456002
45500;0.0420517
46000;0.0456674
46500;0.0421295
47000;0.0421709
47500;0.0456823
48000;0.0419406
48500;0.0431134
49000;0.0450595
49500;0.0488768
50000;0.0399928
50500;0.0455166
51000;0.0389491
51500;0.0430268
52000;0.0413804
52500;0.0467843
53000;0.0411793
53500;0.0431648
54000;0.0417313
54500;0.0388651
55000;0.0406613
55500;0.0408889
56000;0.0447398
56500;0.0425769
57000;0.0400512
57500;0.0449585
58000;0.0423409
58500;0.0479894
59000;0.0386616
59500;0.0386991
60000;0.0415874
60500;0.0402744
61000;0.0422701
61500;0.0436847
62000;0.04149
62500;0.0423487
63000;0.0457798
63500;0.0359477
64000;0.0406859
64500;0.0359559
65000;0.0417536
65500;0.0393893
66000;0.0479277
66500;0.0373621
67000;0.0408392
67500;0.0420402
68000;0.0452299
68500;0.0421458
69000;0.0396728
69500;0.0401927
70000;0.0396561
70500;0.0423869
71000;0.038405
71500;0.0413294
72000;0.0393894
72500;0.0394232
73000;0.039934
73500;0.0391801
74000;0.0429171
74500;0.0411691
75000;0.0425752
75500;0.040457
76000;0.0496898
76500;0.0440633
77000;0.0408599
77500;0.0380321
78000;0.0400703
78500;0.0387063
79000;0.0393334
79500;0.0393154
80000;0.0415807
80500;0.0404905
81000;0.0375014
81500;0.0425204
82000;0.03945
82500;0.0417688
83000;0.039632
83500;0.0360124
84000;0.0389258
84500;0.04262
85000;0.0430672
85500;0.0411672
86000;0.0360781
86500;0.0388281
87000;0.0353209
87500;0.041886
88000;0.0422302
88500;0.0371215
89000;0.0376717
89500;0.0434934
90000;0.0408724
90500;0.0385854
91000;0.0385552
91500;0.0372874
92000;0.0404489
92500;0.0427163
93000;0.0412238
93500;0.0386115
94000;0.0356119
94500;0.0413602
95000;0.0382607
95500;0.0377433
96000;0.0424222
96500;0.0376426
97000;0.0366796
97500;0.0384859
98000;0.0351302
98500;0.040785
99000;0.0380565
99500;0.0427407
100000;0.0363836
100500;0.0391559
101000;0.037739
101500;0.0336775
102000;0.033499
102500;0.0370629
103000;0.040143
103500;0.0400533
104000;0.0442583
104500;0.0396659
105000;0.037052
105500;0.0375325
106000;0.0387967
106500;0.0357752
107000;0.0422831
107500;0.039014
108000;0.0405795
108500;0.0375558
109000;0.039662
109500;0.042323
110000;0.0349446
110500;0.0401193
111000;0.037344
111500;0.0415302
112000;0.0369065
112500;0.0422133
113000;0.0361869
113500;0.0422203
114000;0.0380707
114500;0.0398969
115000;0.0405385
115500;0.0434224
116000;0.043431
116500;0.0369235
117000;0.0370721
117500;0.0424375
118000;0.0416549
118500;0.0403179
