Step;Loss
0;0.0976382
500;0.101001
1000;0.112774
1500;0.100774
2000;0.101108
2500;0.0995751
3000;0.103127
3500;0.110639
4000;0.112394
4500;0.0988941
5000;0.0986598
5500;0.0972773
6000;0.101053
6500;0.10267
7000;0.092301
7500;0.0925586
8000;0.0956859
8500;0.101468
9000;0.0941157
9500;0.101196
10000;0.0988226
10500;0.0866124
11000;0.0969137
11500;0.0964124
12000;0.0999507
12500;0.0982155
13000;0.101652
13500;0.108079
14000;0.0996691
14500;0.101008
15000;0.0977297
15500;0.100208
16000;0.0948918
16500;0.0895859
17000;0.101615
17500;0.094004
18000;0.106032
18500;0.103089
19000;0.0935912
19500;0.0986206
20000;0.0938914
20500;0.105443
21000;0.104663
21500;0.107535
22000;0.100063
22500;0.0949331
23000;0.100123
23500;0.0960195
24000;0.0894153
24500;0.0919181
25000;0.098523
25500;0.0980359
26000;0.0946487
26500;0.101552
27000;0.0964088
27500;0.0956373
28000;0.10413
28500;0.0937918
29000;0.0968275
29500;0.0947102
30000;0.0954879
30500;0.0962907
31000;0.102196
31500;0.0935523
32000;0.100728
32500;0.102057
33000;0.101793
33500;0.0921659
34000;0.0966654
34500;0.100219
35000;0.0949875
35500;0.102494
36000;0.102182
36500;0.0903665
37000;0.101271
37500;0.0964886
38000;0.0932213
38500;0.0977837
39000;0.0935039
39500;0.100049
40000;0.0898696
40500;0.0910422
41000;0.100315
41500;0.0946245
42000;0.0983072
42500;0.0934628
43000;0.096405
43500;0.0915436
44000;0.0891118
44500;0.0966256
45000;0.0998449
45500;0.0938367
46000;0.0913197
46500;0.0931419
47000;0.0979305
47500;0.0923205
48000;0.0980022
48500;0.102475
49000;0.0899465
49500;0.0945789
50000;0.101023
50500;0.0955236
51000;0.103741
51500;0.091624
52000;0.0957021
52500;0.10236
53000;0.0983417
53500;0.10709
54000;0.0949364
54500;0.0964607
55000;0.0924656
55500;0.0952582
56000;0.0960308
56500;0.0935948
57000;0.0886219
57500;0.103724
58000;0.0915679
58500;0.090269
59000;0.0944494
59500;0.0919834
60000;0.0891686
60500;0.0908187
61000;0.0912917
61500;0.0876176
62000;0.104899
62500;0.0984452
63000;0.0927676
63500;0.0794109
64000;0.0939225
64500;0.0965127
65000;0.0861592
65500;0.0998149
66000;0.0933839
66500;0.0896154
67000;0.0956228
67500;0.0905937
68000;0.101459
68500;0.0893482
69000;0.0860271
69500;0.0956058
70000;0.0964848
70500;0.0921061
71000;0.0968525
